band_level,ngram,n,count,doc_freq,doc_pct,count_per_doc
low_le5,children,1,1842,591,0.25052988554472233,0.7808393387028402
low_le5,work,1,1682,755,0.32005086901229335,0.7130139889783806
low_le5,example,1,1587,1244,0.5273420941076727,0.6727426875794829
low_le5,hand,1,1352,960,0.4069520983467571,0.5731242051716829
low_le5,students,1,1313,435,0.18440016956337432,0.5565917761763459
low_le5,conclusion,1,1206,1158,0.49088596863077577,0.5112335735481136
low_le5,education,1,1202,520,0.22043238660449344,0.5095379398050022
low_le5,make,1,1197,785,0.3327681220856295,0.5074183976261127
low_le5,school,1,1190,486,0.2060194997880458,0.5044510385756676
low_le5,however,1,1179,960,0.4069520983467571,0.49978804578211106
low_le5,get,1,1170,702,0.29758372191606614,0.49597286986011024
low_le5,help,1,1132,718,0.3043662568885121,0.4798643493005511
low_le5,good,1,1071,664,0.281475201356507,0.4540059347181009
low_le5,government,1,1036,503,0.2132259431962696,0.4391691394658754
low_le5,like,1,1020,691,0.29292072912250955,0.4323866044934294
low_le5,money,1,997,552,0.23399745654938534,0.42263671047053836
low_le5,job,1,976,459,0.19457397202204324,0.41373463331920307
low_le5,new,1,968,542,0.2297583721916066,0.4103433658329801
low_le5,well,1,966,684,0.28995337007206445,0.4094955489614243
low_le5,instance,1,950,878,0.37219160661297157,0.4027130139889784
low_le5,social,1,912,432,0.1831284442560407,0.38660449342941927
low_le5,parents,1,877,396,0.1678677405680373,0.37176769817719374
low_le5,need,1,842,597,0.2530733361593896,0.3569309029249682
low_le5,future,1,824,565,0.23950826621449767,0.3493005510809665
low_le5,reasons,1,824,624,0.2645188639253921,0.3493005510809665
low_le5,history,1,818,260,0.11021619330224672,0.34675710046629926
low_le5,others,1,811,638,0.27045358202628234,0.34378974141585417
low_le5,young,1,806,403,0.1708350996184824,0.3416701992369648
low_le5,important,1,802,601,0.2547689699025011,0.33997456549385335
low_le5,therefore,1,802,663,0.2810512929207291,0.33997456549385335
low_le5,information,1,799,394,0.16701992369648155,0.3387028401865197
low_le5,become,1,793,560,0.23738872403560832,0.3361593895718525
low_le5,health,1,791,391,0.16574819838914795,0.3353115727002967
low_le5,better,1,782,548,0.23230182280627384,0.3314963967782959
low_le5,use,1,768,480,0.20347604917337855,0.3255616786774057
low_le5,skills,1,745,387,0.16405256464603646,0.31581178465451465
low_le5,due,1,737,553,0.2344213649851632,0.31242051716829167
low_le5,technology,1,733,333,0.14116150911403136,0.3107248834251802
low_le5,moreover,1,728,679,0.2878338278931751,0.3086053412462908
low_le5,first,1,717,624,0.2645188639253921,0.3039423484527342
low_le5,learn,1,707,461,0.19542178889359899,0.2997032640949555
low_le5,individuals,1,706,491,0.20813904196693514,0.2992793556591776
low_le5,take,1,703,529,0.22424756252649428,0.298007630351844
low_le5,human,1,701,372,0.15769393810936838,0.29715981348028825
low_le5,house,1,696,232,0.0983467571004663,0.29504027130139887
low_le5,countries,1,688,408,0.17295464179737177,0.29164900381517594
low_le5,country,1,687,379,0.16066129715981348,0.29122509537939806
low_le5,public,1,685,375,0.15896566341670199,0.2903772785078423
low_le5,community,1,681,283,0.11996608732513778,0.2886816447647308
low_le5,different,1,680,478,0.2026282323018228,0.28825773632895296
