band_level,ngram,n,count,doc_freq,doc_pct,count_per_doc
low_le5,plays vital role,3,46,43,0.018228062738448497,0.01949978804578211
low_le5,play important role,3,39,38,0.016108520559559136,0.016532428995337006
low_le5,single sex schools,3,35,14,0.005934718100890208,0.01483679525222552
low_le5,playing video games,3,32,18,0.007630351844001695,0.013565069944891903
low_le5,children later age,3,32,12,0.005086901229334464,0.013565069944891903
low_le5,history house building,3,27,21,0.008902077151335312,0.011445527766002543
low_le5,advantages outweigh disadvantages,3,27,12,0.005086901229334464,0.011445527766002543
low_le5,play vital role,3,23,22,0.009325985587113183,0.009749894022891056
low_le5,unpaid community work,3,23,13,0.005510809665112336,0.009749894022891056
low_le5,studying university college,3,22,17,0.0072064434082238235,0.009325985587113183
low_le5,using social media,3,22,13,0.005510809665112336,0.009325985587113183
low_le5,plays important role,3,20,20,0.00847816871555744,0.00847816871555744
low_le5,dsoisd dsfs fds,3,20,1,0.000423908435777872,0.00847816871555744
low_le5,dsfs fds dsfdsssssssssss,3,20,1,0.000423908435777872,0.00847816871555744
low_le5,artificially intelligent robots,3,19,12,0.005086901229334464,0.008054260279779568
low_le5,house building live,3,18,15,0.00635862653666808,0.007630351844001695
low_le5,use social media,3,18,14,0.005934718100890208,0.007630351844001695
low_le5,decided children later,3,18,3,0.001271725307333616,0.007630351844001695
low_le5,conclusion even though,3,17,17,0.0072064434082238235,0.0072064434082238235
low_le5,increasing cost fuel,3,17,15,0.00635862653666808,0.0072064434082238235
low_le5,solve environmental problems,3,17,15,0.00635862653666808,0.0072064434082238235
low_le5,job straight school,3,17,14,0.005934718100890208,0.0072064434082238235
low_le5,later age past,3,17,2,0.000847816871555744,0.0072064434082238235
low_le5,increasing day day,3,16,15,0.00635862653666808,0.006782534972445952
low_le5,use public transport,3,16,12,0.005086901229334464,0.006782534972445952
low_le5,problem solving skills,3,16,14,0.005934718100890208,0.006782534972445952
low_le5,age past advantages,3,16,1,0.000423908435777872,0.006782534972445952
low_le5,past advantages outweigh,3,16,1,0.000423908435777872,0.006782534972445952
low_le5,interested finding history,3,15,14,0.005934718100890208,0.00635862653666808
low_le5,pollution housing problems,3,15,10,0.00423908435777872,0.00635862653666808
low_le5,single sex school,3,15,10,0.00423908435777872,0.00635862653666808
low_le5,finding history house,3,15,12,0.005086901229334464,0.00635862653666808
low_le5,university college best,3,15,14,0.005934718100890208,0.00635862653666808
low_le5,outweigh disadvantages decided,3,15,1,0.000423908435777872,0.00635862653666808
low_le5,disadvantages decided children,3,15,1,0.000423908435777872,0.00635862653666808
low_le5,high school students,3,14,13,0.005510809665112336,0.005934718100890208
low_le5,first foremost reason,3,14,14,0.005934718100890208,0.005934718100890208
low_le5,jobs require human,3,13,8,0.003391267486222976,0.005510809665112336
low_le5,prevent climate change,3,13,9,0.0038151759220008477,0.005510809665112336
low_le5,good citizens workers,3,13,9,0.0038151759220008477,0.005510809665112336
low_le5,learn new skills,3,13,12,0.005086901229334464,0.005510809665112336
low_le5,social media platforms,3,13,12,0.005086901229334464,0.005510809665112336
low_le5,fds dsfdsssssssssss freabcd,3,13,1,0.000423908435777872,0.005510809665112336
low_le5,dsfdsssssssssss freabcd dsoisd,3,13,1,0.000423908435777872,0.005510809665112336
low_le5,freabcd dsoisd dsfs,3,13,1,0.000423908435777872,0.005510809665112336
low_le5,playing computer games,3,12,10,0.00423908435777872,0.005086901229334464
low_le5,play video games,3,12,11,0.0046629927935565915,0.005086901229334464
low_le5,getting job straight,3,12,11,0.0046629927935565915,0.005086901229334464
low_le5,lead logical conclusion,3,12,12,0.005086901229334464,0.005086901229334464
low_le5,plays crucial role,3,12,12,0.005086901229334464,0.005086901229334464
